Asset_ID,Asset_Type,Installation_Year,Last_Maintenance_Date,Total_Maintenance_Cost,Condition_Score,Failure_Impact_Score,Failure_History_Count,Operating_Hours,Environmental_Stress_Index,System_Importance_Score,Failure_Probability,Priority_Score,Budget_Constraint_Flag,Scheduled_Disposal_Year,RUL
A0001,Switchgear,1991,2021-12-08,45406.15,9.22,4,5,81703,0.99,0.64,0.52,44.48,1,2025,5.9
A0002,Recloser,2015,2019-10-19,33701.25,9.58,19,0,42445,0.73,0.59,0.83,66.85,1,2029,10.26
A0003,Cable,1983,2022-02-06,28241.81,3.94,91,6,48636,0.36,0.9,0.82,62.99,0,2034,3.08
A0004,Recloser,1984,2022-04-30,5993.98,4.19,45,6,74927,0.7,0.65,0.95,1.78,0,2025,0.73
A0005,Recloser,1987,2020-09-05,22629.25,5.55,43,9,79194,0.73,0.35,0.69,54.12,0,2034,1.89
A0006,Circuit Breaker,2007,2024-09-21,23287.73,9.47,13,6,30685,0.43,0.97,0.21,8.85,1,2030,11.31
A0007,Cable,2010,2023-10-31,43295.9,8.89,13,9,52134,0.12,0.8,0.03,2.64,0,2031,8.48
A0008,Cable,1988,2021-01-04,27559.09,1.92,60,0,89916,0.73,0.63,0.48,79.12,1,2029,0.0
A0009,Cable,2008,2020-04-09,19329.83,4.53,57,3,95455,0.12,0.29,0.51,25.86,1,2025,0.0
A0010,Recloser,1993,2023-05-05,48851.62,5.98,86,6,68847,0.67,0.37,0.25,34.07,1,2030,3.42
A0011,Switchgear,2001,2022-07-28,5980.67,5.53,92,8,40993,0.25,0.67,0.13,6.41,1,2034,5.69
A0012,Cable,1990,2024-07-26,21416.15,2.74,52,4,45333,0.61,0.07,0.58,17.95,0,2029,2.02
A0013,Recloser,2002,2022-05-17,2580.22,8.73,53,1,59865,0.55,0.26,0.76,76.56,0,2030,7.52
A0014,Circuit Breaker,1980,2020-11-04,37125.25,7.09,86,6,80096,0.11,0.71,0.98,49.35,1,2035,3.59
A0015,Switchgear,2000,2021-07-22,45944.79,8.54,43,9,50756,0.43,0.48,0.75,88.07,0,2034,8.21
A0016,Circuit Breaker,2005,2019-12-18,14361.85,8.73,83,0,62192,0.64,0.4,0.79,39.72,1,2031,7.29
A0017,Switchgear,2015,2020-01-07,42987.91,7.74,72,6,61686,0.86,0.15,0.61,26.87,0,2031,6.19
A0018,Recloser,2002,2024-03-12,14964.8,4.95,72,5,49733,0.9,0.44,0.98,34.76,0,2026,4.14
A0019,Transformer,1980,2020-08-25,45583.12,6.49,42,6,26993,0.54,0.77,0.64,71.28,1,2027,8.21
A0020,Switchgear,1994,2022-10-02,37821.11,2.44,90,9,31492,0.76,0.26,0.85,55.5,1,2030,3.05
A0021,Circuit Breaker,2000,2024-03-25,40342.89,7.06,26,2,21981,0.38,0.01,0.94,90.42,1,2027,9.38
A0022,Recloser,1988,2022-09-03,1391.32,2.61,23,2,25143,0.41,0.67,0.92,60.22,1,2026,3.89
A0023,Switchgear,1988,2021-04-30,48159.11,7.25,43,6,78603,0.28,0.97,0.38,49.3,0,2028,3.92
A0024,Transformer,1989,2024-06-22,36470.21,3.07,77,1,90452,0.61,0.61,0.09,78.58,1,2029,0.0
A0025,Transformer,2005,2024-08-30,15585.18,2.06,28,0,61277,0.38,0.12,0.18,94.75,0,2035,0.0
A0026,Cable,2014,2019-12-24,41555.04,2.49,9,8,50990,0.18,0.32,0.07,35.58,1,2034,1.16
A0027,Cable,2004,2022-08-23,14435.3,1.02,20,8,63888,0.72,0.87,0.11,24.99,0,2033,0.0
A0028,Circuit Breaker,2005,2021-10-26,43701.32,7.47,56,6,70351,0.74,0.23,0.19,61.62,1,2027,5.01
A0029,Switchgear,1990,2024-01-02,6072.73,7.59,83,6,98372,0.42,0.61,0.34,49.89,0,2027,2.34
A0030,Switchgear,1981,2022-09-03,35332.46,5.63,39,2,50999,0.17,0.4,0.54,98.92,0,2030,4.81
A0031,Cable,1986,2024-04-09,27264.57,2.45,51,9,71309,0.48,0.21,0.71,46.24,0,2029,0.0
A0032,Switchgear,1997,2023-11-18,5278.46,1.75,12,1,13446,0.5,0.81,0.22,7.43,1,2030,4.06
A0033,Switchgear,2006,2020-12-04,12473.74,1.17,79,6,31733,0.7,0.74,0.67,97.74,1,2031,1.55
A0034,Transformer,2013,2022-06-18,1114.0,2.49,95,8,77000,0.38,0.66,0.7,84.36,1,2035,0.0
A0035,Cable,2006,2023-08-08,23704.01,9.02,55,0,49632,0.71,0.24,0.56,17.83,1,2027,8.88
A0036,Recloser,1996,2019-07-22,15412.63,3.17,78,3,22576,0.88,0.1,0.9,90.46,0,2029,4.8
A0037,Cable,2003,2022-06-15,30118.7,4.19,11,5,4320,0.31,0.58,0.12,34.07,0,2032,7.81
A0038,Recloser,2004,2022-01-19,15213.27,1.95,26,6,11750,0.98,0.55,0.18,37.71,0,2028,4.46
A0039,Transformer,1986,2020-05-01,15346.0,3.0,42,9,54463,0.45,0.19,0.43,90.64,1,2034,1.4
A0040,Circuit Breaker,1985,2021-10-19,37288.06,5.67,27,6,27572,0.34,0.06,0.13,53.01,0,2026,7.2
A0041,Switchgear,2003,2023-08-09,2883.07,6.47,11,9,18948,0.48,0.08,0.56,13.78,0,2028,9.0
A0042,Transformer,2012,2021-01-17,45193.3,3.21,38,1,39826,0.18,0.99,0.4,36.91,1,2026,3.11
A0043,Switchgear,2008,2022-05-31,42687.06,1.52,98,3,90051,0.21,0.78,0.29,72.21,1,2027,0.0
A0044,Circuit Breaker,2001,2022-03-15,33556.33,4.52,43,4,28867,0.47,0.92,0.18,17.42,0,2028,5.74
A0045,Circuit Breaker,2005,2022-04-14,29864.47,3.11,19,0,61231,0.79,0.2,0.34,59.02,1,2028,0.85
A0046,Transformer,2007,2023-06-15,44668.97,2.98,64,0,67262,0.91,0.96,0.61,69.53,1,2034,0.1
A0047,Circuit Breaker,2000,2021-11-26,9673.84,9.64,6,9,92356,0.7,0.14,0.57,34.39,1,2033,5.32
A0048,Recloser,1986,2020-07-13,4408.97,6.55,46,2,73233,0.19,0.51,0.17,69.39,1,2034,3.65
A0049,Circuit Breaker,1996,2021-08-24,12355.75,6.01,42,9,45678,0.7,0.83,0.13,88.42,0,2030,5.78
A0050,Switchgear,1999,2022-02-01,39831.62,4.74,92,2,13963,0.67,0.35,0.04,47.21,0,2033,7.49
A0051,Switchgear,1999,2019-12-06,2216.18,4.86,65,7,65360,0.83,0.42,0.02,38.29,0,2028,2.47
A0052,Switchgear,2001,2024-07-28,29348.94,5.87,99,8,50434,0.84,0.13,0.87,25.12,0,2033,5.14
A0053,Switchgear,2007,2020-06-15,49774.16,7.27,72,0,67617,0.88,0.12,0.05,60.42,0,2035,5.05
A0054,Recloser,1986,2024-09-02,42856.96,7.32,59,1,21269,0.47,0.62,0.73,87.99,1,2033,9.75
A0055,Cable,1980,2020-05-01,26311.56,2.55,52,9,77312,0.73,0.68,0.86,32.47,0,2030,0.0
A0056,Transformer,2011,2023-06-09,3650.23,5.5,47,1,98352,0.34,0.78,0.11,39.62,0,2029,0.0
A0057,Switchgear,1992,2022-08-10,41652.99,4.71,7,3,80732,1.0,0.56,0.44,40.66,1,2027,0.76
A0058,Circuit Breaker,2009,2020-08-30,30149.44,8.83,11,1,82494,0.26,0.65,0.95,56.08,1,2029,5.37
A0059,Switchgear,2002,2020-04-26,6189.18,6.68,61,6,89905,0.11,0.01,0.83,22.84,1,2027,2.13
A0060,Circuit Breaker,1998,2022-03-20,5145.94,5.79,68,8,78225,0.23,0.16,0.49,82.22,0,2029,2.26
A0061,Circuit Breaker,2011,2019-11-08,45526.53,2.04,25,6,83867,0.8,0.98,0.76,29.56,1,2029,0.0
A0062,Switchgear,2009,2023-09-13,33625.41,6.45,12,5,38528,0.5,0.08,0.83,70.54,1,2026,7.01
A0063,Recloser,2008,2023-11-09,41549.7,2.05,26,9,79972,0.5,0.68,0.35,51.32,1,2033,0.0
A0064,Circuit Breaker,2008,2023-01-31,44009.46,4.03,12,0,66602,0.96,0.18,0.88,58.59,0,2031,1.38
A0065,Circuit Breaker,2009,2019-10-06,28802.73,2.29,43,9,97261,0.93,0.72,0.47,17.96,1,2030,0.0
A0066,Switchgear,1995,2024-10-21,26113.59,7.23,51,8,91748,0.38,0.71,0.53,73.5,1,2029,2.58
A0067,Circuit Breaker,1998,2024-03-24,21806.16,2.86,37,4,34332,0.29,0.23,0.99,18.86,0,2028,3.26
A0068,Circuit Breaker,1997,2021-10-06,16188.86,4.53,46,4,91937,0.86,0.27,0.84,11.35,1,2032,0.0
A0069,Switchgear,1980,2021-12-15,22012.5,9.06,53,5,79929,0.92,0.65,0.36,54.67,0,2026,5.89
A0070,Switchgear,1993,2023-02-09,38807.04,2.84,88,8,70206,0.59,0.39,0.02,70.93,0,2032,0.0
A0071,Transformer,1981,2023-08-24,30295.21,5.57,80,7,92137,0.67,0.19,0.62,5.0,1,2025,0.61
A0072,Recloser,2007,2024-02-20,44679.9,4.77,13,7,3251,0.33,0.73,0.7,6.94,0,2034,8.59
A0073,Recloser,2009,2022-02-26,22447.31,1.16,89,7,46717,0.82,0.15,0.65,80.27,1,2025,0.04
