Asset_Type,Total_Maintenance_Cost,Condition_Score,Failure_Impact_Score,Failure_History_Count,Operating_Hours,Environmental_Stress_Index,System_Importance_Score,Failure_Probability,Budget_Constraint_Flag,RUL,Days_Since_Maintenance
3,45406.15,9.22,4,5,81703,0.99,0.64,0.52,1,5.9,1617
2,33701.25,9.58,19,0,42445,0.73,0.59,0.83,1,10.26,2398
0,28241.81,3.94,91,6,48636,0.36,0.9,0.82,0,3.08,1557
2,5993.98,4.19,45,6,74927,0.7,0.65,0.95,0,0.73,1474
2,22629.25,5.55,43,9,79194,0.73,0.35,0.69,0,1.89,2076
1,23287.73,9.47,13,6,30685,0.43,0.97,0.21,1,11.31,599
0,43295.9,8.89,13,9,52134,0.12,0.8,0.03,0,8.48,925
0,27559.09,1.92,60,0,89916,0.73,0.63,0.48,1,0.0,1955
0,19329.83,4.53,57,3,95455,0.12,0.29,0.51,1,0.0,2225
2,48851.62,5.98,86,6,68847,0.67,0.37,0.25,1,3.42,1104
3,5980.67,5.53,92,8,40993,0.25,0.67,0.13,1,5.69,1385
0,21416.15,2.74,52,4,45333,0.61,0.07,0.58,0,2.02,656
2,2580.22,8.73,53,1,59865,0.55,0.26,0.76,0,7.52,1457
1,37125.25,7.09,86,6,80096,0.11,0.71,0.98,1,3.59,2016
3,45944.79,8.54,43,9,50756,0.43,0.48,0.75,0,8.21,1756
1,14361.85,8.73,83,0,62192,0.64,0.4,0.79,1,7.29,2338
3,42987.91,7.74,72,6,61686,0.86,0.15,0.61,0,6.19,2318
2,14964.8,4.95,72,5,49733,0.9,0.44,0.98,0,4.14,792
4,45583.12,6.49,42,6,26993,0.54,0.77,0.64,1,8.21,2087
3,37821.11,2.44,90,9,31492,0.76,0.26,0.85,1,3.05,1319
1,40342.89,7.06,26,2,21981,0.38,0.01,0.94,1,9.38,779
2,1391.32,2.61,23,2,25143,0.41,0.67,0.92,1,3.89,1348
3,48159.11,7.25,43,6,78603,0.28,0.97,0.38,0,3.92,1839
4,36470.21,3.07,77,1,90452,0.61,0.61,0.09,1,0.0,690
4,15585.18,2.06,28,0,61277,0.38,0.12,0.18,0,0.0,621
0,41555.04,2.49,9,8,50990,0.18,0.32,0.07,1,1.16,2332
0,14435.3,1.02,20,8,63888,0.72,0.87,0.11,0,0.0,1359
1,43701.32,7.47,56,6,70351,0.74,0.23,0.19,1,5.01,1660
3,6072.73,7.59,83,6,98372,0.42,0.61,0.34,0,2.34,862
3,35332.46,5.63,39,2,50999,0.17,0.4,0.54,0,4.81,1348
0,27264.57,2.45,51,9,71309,0.48,0.21,0.71,0,0.0,764
3,5278.46,1.75,12,1,13446,0.5,0.81,0.22,1,4.06,907
3,12473.74,1.17,79,6,31733,0.7,0.74,0.67,1,1.55,1986
4,1114.0,2.49,95,8,77000,0.38,0.66,0.7,1,0.0,1425
0,23704.01,9.02,55,0,49632,0.71,0.24,0.56,1,8.88,1009
2,15412.63,3.17,78,3,22576,0.88,0.1,0.9,0,4.8,2487
0,30118.7,4.19,11,5,4320,0.31,0.58,0.12,0,7.81,1428
2,15213.27,1.95,26,6,11750,0.98,0.55,0.18,0,4.46,1575
4,15346.0,3.0,42,9,54463,0.45,0.19,0.43,1,1.4,2203
1,37288.06,5.67,27,6,27572,0.34,0.06,0.13,0,7.2,1667
3,2883.07,6.47,11,9,18948,0.48,0.08,0.56,0,9.0,1008
4,45193.3,3.21,38,1,39826,0.18,0.99,0.4,1,3.11,1942
3,42687.06,1.52,98,3,90051,0.21,0.78,0.29,1,0.0,1443
1,33556.33,4.52,43,4,28867,0.47,0.92,0.18,0,5.74,1520
1,29864.47,3.11,19,0,61231,0.79,0.2,0.34,1,0.85,1490
4,44668.97,2.98,64,0,67262,0.91,0.96,0.61,1,0.1,1063
1,9673.84,9.64,6,9,92356,0.7,0.14,0.57,1,5.32,1629
2,4408.97,6.55,46,2,73233,0.19,0.51,0.17,1,3.65,2130
1,12355.75,6.01,42,9,45678,0.7,0.83,0.13,0,5.78,1723
3,39831.62,4.74,92,2,13963,0.67,0.35,0.04,0,7.49,1562
3,2216.18,4.86,65,7,65360,0.83,0.42,0.02,0,2.47,2350
3,29348.94,5.87,99,8,50434,0.84,0.13,0.87,0,5.14,654
3,49774.16,7.27,72,0,67617,0.88,0.12,0.05,0,5.05,2158
2,42856.96,7.32,59,1,21269,0.47,0.62,0.73,1,9.75,618
0,26311.56,2.55,52,9,77312,0.73,0.68,0.86,0,0.0,2203
4,3650.23,5.5,47,1,98352,0.34,0.78,0.11,0,0.0,1069
3,41652.99,4.71,7,3,80732,1.0,0.56,0.44,1,0.76,1372
1,30149.44,8.83,11,1,82494,0.26,0.65,0.95,1,5.37,2082
3,6189.18,6.68,61,6,89905,0.11,0.01,0.83,1,2.13,2208
1,5145.94,5.79,68,8,78225,0.23,0.16,0.49,0,2.26,1515
1,45526.53,2.04,25,6,83867,0.8,0.98,0.76,1,0.0,2378
3,33625.41,6.45,12,5,38528,0.5,0.08,0.83,1,7.01,973
2,41549.7,2.05,26,9,79972,0.5,0.68,0.35,1,0.0,916
1,44009.46,4.03,12,0,66602,0.96,0.18,0.88,0,1.38,1198
1,28802.73,2.29,43,9,97261,0.93,0.72,0.47,1,0.0,2411
3,26113.59,7.23,51,8,91748,0.38,0.71,0.53,1,2.58,569
1,21806.16,2.86,37,4,34332,0.29,0.23,0.99,0,3.26,780
1,16188.86,4.53,46,4,91937,0.86,0.27,0.84,1,0.0,1680
3,22012.5,9.06,53,5,79929,0.92,0.65,0.36,0,5.89,1610
3,38807.04,2.84,88,8,70206,0.59,0.39,0.02,0,0.0,1189
4,30295.21,5.57,80,7,92137,0.67,0.19,0.62,1,0.61,993
2,44679.9,4.77,13,7,3251,0.33,0.73,0.7,0,8.59,813
2,22447.31,1.16,89,7,46717,0.82,0.15,0.65,1,0.04,1537
1,30550.93,8.13,54,0,28027,0.67,0.86,0.96,1,10.02,2067
2,31749.72,1.62,57,0,98382,0.55,0.51,0.86,1,0.0,2017
1,29789.01,5.27,4,7,87551,0.15,0.11,0.45,1,0.72,2480
4,35280.37,6.05,75,4,10583,0.92,0.69,0.07,0,9.35,1304
3,12252.96,6.66,96,8,51387,0.65,0.52,0.48,1,5.97,871
3,25862.01,7.2,49,1,24104,0.27,0.3,0.69,1,9.33,1168
3,5659.13,3.28,7,8,13224,0.65,0.42,0.61,1,5.86,908
2,19533.31,1.09,11,7,61624,0.71,0.3,0.54,0,0.0,2329
4,24639.52,7.51,92,8,57058,0.57,0.26,0.47,0,6.39,1216
2,32785.1,5.82,54,3,97372,0.75,0.16,0.3,1,0.38,1803
2,47551.29,8.53,87,0,30299,0.62,0.36,0.28,0,10.25,2477
4,30232.23,8.39,45,0,79572,0.95,0.25,0.5,0,5.15,1606
4,37307.9,8.59,23,4,86469,0.15,0.68,0.17,1,4.69,2013
4,25560.17,5.37,28,1,78928,0.2,0.68,0.34,1,1.7,983
4,31888.15,4.0,57,7,74474,0.26,0.5,0.33,1,0.56,1509
3,4011.14,8.12,26,9,5141,0.72,0.78,0.59,1,12.3,609
0,13092.38,5.06,25,4,24350,0.68,0.84,0.08,1,6.82,2455
0,18411.73,2.65,54,4,76082,0.9,0.58,0.82,0,0.0,1649
4,23888.42,8.69,29,1,71871,0.76,0.62,0.56,1,6.27,675
0,2759.61,8.94,83,6,6077,0.56,0.28,0.67,1,13.16,1879
0,7431.19,5.2,97,7,47015,0.99,0.89,0.7,1,4.71,1706
4,14202.31,1.68,36,9,72147,0.34,0.02,0.3,1,0.0,716
0,48590.87,4.49,14,0,60180,0.85,0.35,0.47,1,2.56,2044
2,16901.68,8.23,78,1,41857,0.48,0.72,0.95,0,8.75,1409
1,24361.03,9.12,35,9,60840,0.68,0.08,0.76,1,7.88,789
1,10206.84,2.83,30,3,60902,0.75,0.18,0.96,0,0.56,1630
4,30733.61,1.6,92,4,6577,0.67,0.59,0.74,1,4.58,926
3,14393.82,8.9,17,1,21002,0.23,0.56,0.18,1,11.62,1290
4,10746.13,4.5,67,0,51711,0.5,0.74,0.07,1,3.42,1135
3,26070.35,5.88,80,8,40451,0.61,0.81,0.58,0,6.16,1810
1,772.54,9.71,30,0,50103,0.86,0.13,0.36,1,9.64,2322
4,879.37,1.6,93,3,29647,0.5,0.02,0.28,1,2.26,2165
2,11343.91,6.83,45,1,35831,0.93,0.69,0.8,1,7.72,2102
0,2317.71,1.67,79,3,97498,0.5,0.3,0.37,1,0.0,1311
3,5847.27,4.38,89,7,96119,0.59,0.63,0.32,1,0.0,627
0,17273.6,8.23,51,7,67830,0.82,0.15,0.84,1,6.14,1909
0,40227.99,4.9,47,8,81632,0.62,0.47,0.84,1,0.89,1930
4,28816.41,9.97,53,4,37833,0.96,0.5,0.36,0,11.17,1346
0,25877.05,6.03,64,6,93864,0.69,0.59,0.83,1,0.97,1771
2,15027.7,3.89,38,2,25398,0.57,0.51,0.84,1,5.35,1346
0,46621.81,2.98,64,9,62554,0.12,0.5,0.43,1,0.57,946
4,20152.24,4.15,87,3,51755,0.47,0.33,0.08,0,3.01,650
2,4811.09,4.35,89,9,18706,0.37,0.07,0.01,0,6.56,948
1,31044.79,1.62,7,8,23340,0.77,0.09,0.52,1,2.92,1781
0,6135.0,4.33,22,9,65994,0.29,0.43,0.35,0,1.79,2240
4,17588.55,5.18,81,9,64884,0.28,0.36,0.99,1,2.89,1613
1,25616.89,7.5,82,0,85361,0.27,0.52,0.77,1,3.54,2035
1,43774.01,6.91,41,1,18482,0.21,0.3,0.76,0,9.55,2178
3,24930.56,7.38,74,4,55225,0.38,0.69,0.95,1,6.42,2253
2,35261.81,1.08,10,2,59849,0.9,0.86,0.88,0,0.0,2124
0,49644.43,2.96,57,1,75854,0.8,0.3,0.32,0,0.0,1294
4,7008.71,6.96,7,0,42256,0.76,0.19,0.17,0,7.23,1009
3,14099.21,5.36,50,9,82110,0.82,0.12,0.74,1,1.37,1045
2,20031.52,1.05,91,2,15650,0.34,0.62,0.38,1,3.03,681
3,21380.49,8.24,52,0,47118,0.9,0.44,0.47,1,8.23,618
